sourceFile,link,status,notes
.github\prompts\plan-completion.prompt.md,src/lib/actions/chapter.actions.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/queries/genre.queries.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/mutations/genre.mutations.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/api/genres/route.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/lib/actions/genre.actions.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/layout.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/navigation/header.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/navigation/footer.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,src/lib/actions/user.actions.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/queries/user.queries.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/mutations/user.mutations.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/error.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/not-found.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/skeletons/comic-skeleton.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/skeletons/chapter-skeleton.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/comics/comic-list.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/comics/comic-card.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/components/navigation/header.tsx,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\plan-completion.prompt.md,next.config.ts,MISSING,
.github\prompts\plan-completion.prompt.md,vitest.config.ts,MISSING,
.github\prompts\plan-completion.prompt.md,playwright.config.ts,MISSING,
.github\prompts\plan-completion.prompt.md,tests/,MISSING,
.github\prompts\plan-completion.prompt.md,package.json,MISSING,
.github\prompts\plan-completion.prompt.md,tests/unit/validation.test.ts,MISSING,
.github\prompts\plan-completion.prompt.md,tests/unit/utils.test.ts,MISSING,
.github\prompts\plan-completion.prompt.md,tests/e2e/auth.spec.ts,MISSING,
.github\prompts\plan-completion.prompt.md,tests/e2e/comic-browse.spec.ts,MISSING,
.github\prompts\plan-completion.prompt.md,tests/e2e/user-profile.spec.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/seed/seed-runner-v4enhanced.ts,MISSING,
.github\prompts\plan-completion.prompt.md,src/database/seed/seeders/,MISSING,
.github\prompts\plan-completion.prompt.md,users.json,MISSING,
.github\prompts\plan-completion.prompt.md,comics.json,MISSING,
.github\prompts\plan-completion.prompt.md,chapters.json,MISSING,
.github\prompts\plan-completion.prompt.md,package.json,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/api/seed/route.ts,MISSING,
.github\prompts\plan-completion.prompt.md,README.md,LOCAL_OK,
.github\prompts\plan-completion.prompt.md,ARCHITECTURE.md,MISSING,
.github\prompts\plan-completion.prompt.md,API.md,MISSING,
.github\prompts\plan-completion.prompt.md,.env.example,MISSING,
.github\prompts\plan-completion.prompt.md,DEVELOPMENT.md,MISSING,
.github\prompts\plan-completion.prompt.md,src/app/(root,MISSING,
.github\prompts\refactor.prompt.md,.*lib/validations|.*some-old-path,MISSING,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#what-is-prompt-engineering,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#prompt-engineering-fundamentals,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#safety--bias-mitigation,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#responsible-ai-usage,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#security,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#testing--validation,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#documentation--support,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#templates--checklists,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,#references,LOCAL_OK,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://www.microsoft.com/ai/responsible-ai-resources,404,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://www.microsoft.com/en-us/ai/responsible-ai,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://docs.microsoft.com/en-us/azure/cognitive-services/,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://platform.openai.com/docs/guides/prompt-engineering,403,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://openai.com/policies/usage-policies,403,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://platform.openai.com/docs/guides/safety-best-practices,403,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://ai.google/principles/,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://ai.google/responsibility/,404,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://ai.google/research/responsible-ai/,404,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://github.com/promptslab/Awesome-Prompt-Engineering,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://github.com/dair-ai/Prompt-Engineering-Guide,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://github.com/centerforaisafety/ai-safety-resources,404,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://github.com/openai/openai-cookbook,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://docs.microsoft.com/en-us/learn/ai/,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://github.com/hwchase17/langchain,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://github.com/openai/evals,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://wandb.ai/,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://azure.microsoft.com/en-us/services/cognitive-services/content-moderator/,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://cloud.google.com/ai-platform/content-moderation,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://platform.openai.com/docs/guides/moderation,403,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://github.com/promptfoo/promptfoo,200,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://github.com/langchain-ai/langsmith,404,
.github\instructions\ai-prompt-engineering-safety-best-practices.instructions.md,https://docs.wandb.ai/guides/prompts,200,
.github\instructions\code-review-generic.instructions.md,https://docs.github.com/en/copilot/concepts/prompting/prompt-engineering,200,
.github\instructions\code-review-generic.instructions.md,https://code.visualstudio.com/docs/copilot/customization/custom-instructions,200,
.github\instructions\code-review-generic.instructions.md,https://github.com/github/awesome-copilot,200,
.github\instructions\code-review-generic.instructions.md,https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests,200,
.github\instructions\code-review-generic.instructions.md,https://google.github.io/eng-practices/review/,200,
.github\instructions\code-review-generic.instructions.md,https://owasp.org/,200,
.github\instructions\code-review-generic.instructions.md,https://docs.github.com/en/copilot/concepts/prompting/prompt-engineering,200,
.github\instructions\copilot-instructions.md,tsconfig.json,MISSING,
.github\instructions\copilot-instructions.md,src/dto/actionResponseDto.ts,MISSING,
.github\instructions\copilot-instructions.md,DTO_AND_SERVER_ACTIONS_REPORT.md,MISSING,
.github\instructions\copilot-instructions.md,src/dal/baseDal.ts,MISSING,
.github\instructions\copilot-instructions.md,src/lib/env.ts,MISSING,
.github\instructions\copilot-instructions.md,src/database/schema.ts,MISSING,
.github\instructions\copilot-instructions.md,src/database/seed/README.md,MISSING,
.github\instructions\copilot-instructions.md,scripts/cw.ts,MISSING,
.github\instructions\copilot-instructions.md,src/components/admin/,MISSING,
.github\instructions\copilot-instructions.md,sentry.server.config.ts,MISSING,
.github\instructions\copilot-instructions.md,src/lib/authConfig.ts,MISSING,
.github\instructions\copilot-instructions.md,src/lib/imagekit.ts,MISSING,
.github\instructions\copilot-instructions.md,README.md,MISSING,
.github\instructions\copilot-instructions.md,QUICK_START.md,MISSING,
.github\instructions\copilot-instructions.md,SERVER_ACTIONS_DTO_INDEX.md,MISSING,
.github\instructions\copilot-instructions.md,PACKAGE_SCRIPTS_DOCUMENTATION.md,MISSING,
.github\instructions\copilot-instructions.md,src/database/seed/README.md,MISSING,
.github\instructions\html-css-style-color-guide.instructions.md,https://civicactions.github.io/uswds-color-tool/,200,
.github\instructions\html-css-style-color-guide.instructions.md,https://designsystem.digital.gov/design-tokens/color/overview/,200,
.github\instructions\html-css-style-color-guide.instructions.md,https://www.interaction-design.org/literature/article/ui-color-palette,200,
.github\instructions\html-css-style-color-guide.instructions.md,https://www.figma.com/resource-library/color-combinations/,200,
.github\instructions\instructions.instructions.md,https://code.visualstudio.com/docs/copilot/customization/custom-instructions,200,
.github\instructions\instructions.instructions.md,https://github.com/github/awesome-copilot/tree/main/instructions,200,
.github\instructions\localization.instructions.md,https://docs.github.com/copilot/about-github-copilot/what-is-github-copilot,200,
.github\instructions\localization.instructions.md,../../issues,MISSING,
.github\instructions\makefile.instructions.md,https://www.gnu.org/software/make/manual/,403,
.github\instructions\markdown.instructions.md,URL,MISSING,
.github\instructions\markdown.instructions.md,image,MISSING,
.github\instructions\mcp-m365-copilot.instructions.md,https://m365.cloud.microsoft/chat,200,
.github\instructions\mcp-m365-copilot.instructions.md,https://devblogs.microsoft.com/microsoft365dev/build-declarative-agents-for-microsoft-365-copilot-with-mcp/,200,
.github\instructions\mcp-m365-copilot.instructions.md,https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/build-mcp-plugins,200,
.github\instructions\mcp-m365-copilot.instructions.md,https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/api-plugin-adaptive-cards,200,
.github\instructions\mcp-m365-copilot.instructions.md,https://learn.microsoft.com/en-us/microsoft-365/admin/manage/manage-copilot-agents-integrated-apps,200,
.github\instructions\performance-optimization.instructions.md,https://web.dev/performance/,200,
.github\instructions\performance-optimization.instructions.md,https://developer.mozilla.org/en-US/docs/Web/Performance,200,
.github\instructions\performance-optimization.instructions.md,https://owasp.org/www-project-performance-testing/,404,
.github\instructions\performance-optimization.instructions.md,https://learn.microsoft.com/en-us/azure/architecture/best-practices/performance,404,
.github\instructions\performance-optimization.instructions.md,https://wiki.postgresql.org/wiki/Performance_Optimization,200,
.github\instructions\performance-optimization.instructions.md,https://dev.mysql.com/doc/refman/8.0/en/optimization.html,403,
.github\instructions\performance-optimization.instructions.md,https://nodejs.org/en/docs/guides/simple-profiling/,200,
.github\instructions\performance-optimization.instructions.md,https://docs.python.org/3/library/profile.html,200,
.github\instructions\performance-optimization.instructions.md,https://www.oracle.com/java/technologies/javase/performance.html,404,
.github\instructions\performance-optimization.instructions.md,https://learn.microsoft.com/en-us/dotnet/standard/performance/,404,
.github\instructions\performance-optimization.instructions.md,https://www.webpagetest.org/,403,
.github\instructions\performance-optimization.instructions.md,https://developers.google.com/web/tools/lighthouse,200,
.github\instructions\performance-optimization.instructions.md,https://prometheus.io/,200,
.github\instructions\performance-optimization.instructions.md,https://grafana.com/,200,
.github\instructions\performance-optimization.instructions.md,https://k6.io/,200,
.github\instructions\performance-optimization.instructions.md,https://gatling.io/,200,
.github\instructions\performance-optimization.instructions.md,https://locust.io/,200,
.github\instructions\performance-optimization.instructions.md,https://opentelemetry.io/,200,
.github\instructions\performance-optimization.instructions.md,https://www.jaegertracing.io/,200,
.github\instructions\performance-optimization.instructions.md,https://zipkin.io/,200,
.github\instructions\prompt.instructions.md,https://code.visualstudio.com/docs/copilot/customization/prompt-files#_prompt-file-format,200,
.github\instructions\prompt.instructions.md,https://github.com/github/awesome-copilot/tree/main/prompts,200,
.github\instructions\prompt.instructions.md,https://code.visualstudio.com/docs/copilot/chat/chat-agent-mode#_agent-mode-tools,200,
.github\instructions\typespec-m365-copilot.instructions.md,https://typespec.io/,ERROR TypeError: fetch failed,
.github\instructions\typespec-m365-copilot.instructions.md,https://learn.microsoft.com/microsoft-365-copilot/extensibility/,200,
.github\instructions\typespec-m365-copilot.instructions.md,https://aka.ms/M365AgentsToolkit,200,
.github\instructions\typespec-m365-copilot.instructions.md,https://adaptivecards.io/designer/,200,
.github\instructions\vsixtoolkit.instructions.md,https://github.com/VsixCommunity/Community.VisualStudio.Toolkit,200,
.github\instructions\vsixtoolkit.instructions.md,https://learn.microsoft.com/en-us/visualstudio/extensibility/,200,
.github\instructions\vsixtoolkit.instructions.md,https://github.com/VsixCommunity/Samples,200,
.github\instructions\vsixtoolkit.instructions.md,https://github.com/user/repo/actions/workflows/build.yaml/badge.svg,404,
.github\instructions\vsixtoolkit.instructions.md,https://img.shields.io/visual-studio-marketplace/v/Publisher.ExtensionName,200,
.github\instructions\vsixtoolkit.instructions.md,https://img.shields.io/visual-studio-marketplace/d/Publisher.ExtensionName,200,
.github\instructions\vsixtoolkit.instructions.md,http://vsixgallery.com/extension/ExtensionId/,500,
.github\instructions\vsixtoolkit.instructions.md,art/screenshot.png,MISSING,
.github\instructions\vsixtoolkit.instructions.md,LICENSE,MISSING,
README.md,https://nextjs.org,200,
README.md,https://nextjs.org/docs/app/api-reference/cli/create-next-app,200,
README.md,http://localhost:3000,ERROR TypeError: fetch failed,
README.md,https://nextjs.org/docs/app/building-your-application/optimizing/fonts,200,
README.md,https://vercel.com/font,200,
README.md,https://nextjs.org/docs,200,
README.md,https://nextjs.org/learn,200,
README.md,https://github.com/vercel/next.js,200,
README.md,https://vercel.com/new?utm_medium=default-template&filter=next.js&utm_source=create-next-app&utm_campaign=create-next-app-readme,200,
README.md,https://nextjs.org/docs/app/building-your-application/deploying,200,
